"HolderAddress","Balance"
"0x047e6955a24c9017a48ba5eeca674b51ffc8e191","3256352844"
"0x09c809b26fd9be2b64b284dc52a90b94edd47144","6000000000"
"0x0b50b2ee16013c23a88dd6479051558fa403955b","45372504.2751416"
"0x1881f410cf06c1a2a7993328babb4bb1ba0e6d43","750170264.907065"
"0x1916f10ec537863f0ae4c2ac713e168fafa65295","2774299323.35088"
"0x19b2e22bb729a8bad5ed6daeb8bb6005ce049b8b","17132387.3092052"
"0x1c17a23900a0436ba04952c6d23ee2e1f70e98be","245574875.780215"
"0x1cdf356937a50e8468bcc9f572e4bcda89b10ab7","2069448383.41546"
"0x1e27c17432abff8e314b421be50c63a42d3e95e0","125222154.621714"
"0x22a6eee2c4db9957e18a5ee4736b92702e4311fc","4529859492.64029"
"0x23e9439534c4591a5ad63b6712bd3396e5dfa370","41918571.4256047"
"0x24af272dc1aae01ff6a0151fb5fca3f100c5b29b","4000000000"
"0x277076774bfd00612f64d0cdf4be70a47ae26913","39340842.0669478"
"0x27d771bf0e1d5cb0f3b4a837c8e29f02ba8c8868","8.43193596597E-07"
"0x2fcfdecb0889ce743fa793bb8c70411a71fca4e9","6768955517.11552"
"0x3131cda50b3c12a7dafe5e3fcb9b4fdc54745682","240747344.171868"
"0x322491a20ed9db6e221c2b977697576bcb8bcc3d","111058354.291236"
"0x45af66ef9eb1e505077551df87b2e95d7481018c","688804652.255665"
"0x45fd07c63e5c316540f14b2002b085aee78e3881","2347673990.84274"
"0x4d1d797979e5063df11f4482d3e29d8be7789763","19139200"
"0x5bff48771d3913b37290413a51116a27263bf696","143075190.306408"
"0x5f49d57ad20e117ed5c31ec6d7461946190ecab1","156681898.764148"
"0x64a52e0c2bafbb49c8d8e59772c8f8d858947ae8","910238441.270445"
"0x77327a1df09f0489da1ecbd19340a8100df3bf33","7962786655.57017"
"0x7c9f6b5707fa8177984dfdc99d31ced563671f83","320451967.733888"
"0x81be7b2c6cbdc226dbef5241d2380eab027f7ffc","434109339.836951"
"0x841fc79443e3ae96b717c7acab9268da0722bf2a","29210474.2127572"
"0x8604bd5e7e461a544806d2d098d4239fe1b59828","4898852073.47136"
"0x8723af66e4377df827b9135b8bca3d4352d0f130","462032701.725142"
"0x8fb3acf45de63712b762a06bd360eaff18e98888","573017923.820748"
"0x90d9f88b901cf0b282bafaacbcca9be09d3cee69","1019195417.40115"
"0x92cdc5ae03b2859a69a12c125b4ff130428698d4","330122783.063558"
"0x9487ebcf5fa24254726807b9aecfa97c5b627122","52487918.2898434"
"0x954edfbfb2fd9e4ad12892a0d5783560d53aee28","298840187.141382"
"0x97f0cc8499d1d87b367b54a8718055bb42d72fe8","1128753847.4859"
"0x98446e6eba4d2f56468feb788d766e4970975893","248664251.859216"
"0x98d666a0a3e30399ee617fa7c9ba6d3ae003b8e6","2423098499.37557"
"0x9bf59005baeaecaa3db4d75dedacc445b31af0f9","48032125.8761732"
"0x9df53ded25dbf14de92ca6f25b5776d29aa471c2","113811403.705544"
"0xa18aa7d05f50b3c013c3de9ae63217a78e40859f","124262334.268809"
"0xa1c71dd36b10009012b01b9e82f9b749286f12c6","1000000000"
"0xa290ce9d436c702813140c670dda357e76b8e6b6","11104690.6773887"
"0xa47e39776a6e027d48b53449d2197229aba6ee55","40000000"
"0xa51145675daa39707a3476d7f26868220c7ac9d3","113026852.658293"
"0xa574225ffa9b40db38d387b041484c0c1a499098","135285412.010991"
"0xa8c7aa48e15b5338ea174ee201dbefbab017385e","183121518.808908"
"0xaf1dab3dd776a8820c8bc073e473a2e785eb99ce","5952498240.69477"
"0xb4c162af0531cfd40dad4c98fbfab38985c35b1f","599722216.964968"
"0xb81382e84ed6583b3a879fd14b39e7bdc8a3b9a1","1136153422.3037"
"0xb95b31088b131e587d4a8bdcf7fbadbc6b15b241","8584788.97851108"
"0xba8250a68ab4d6f1789be36f468634b1bccfa292","37239408.6384614"
"0xbf0f79932e3e136a0a948fd6a8aa4ca8ccfe0ee1","24010109805.8588"
"0xc364ecdd91e313b33afb4d015ac42fd8a8456f37","4269849205.12121"
"0xcfc42ffec0f9fb643a7e01a53e7e0bdfd90a66a6","494256384.576865"
"0xd5ba22c2323f65616860b0521eab5929549db4d9","1420000069"
"0xe31b21005f3417cc30438106d60e3bd5a6721345","800000000"
"0xe35ff4889bec4b621bf3917d4144fc78cd12e4d7","390816232.157945"
"0xea798f92e28e972861ee13a2dc0feb1a6f47b76e","871854000"
"0xee01edf47fa564968651945fe9a9bfec94222594","280000000"
"0xee3c21c21848ed1c787c7c0205e8de40722846d6","148909959.438275"
"0xef028a4c84a69f54f01f0e671bec293c8f04fc6a","101151266.140392"
"0xf20f5db72a7e08c55b352a53f2e8032f7678ffbe","200000000"
"0xfa7655d3ec2446eccc375adedca83b634ec9bf36","35739822.8541849"
"0xfc4d7cdf09fa9a8d2fc8c428fb6bd30aa93fc76e","1703012327.625"
"0xfc8e3819c2df3638fc91a06d4239a5d3acf16947","37232575.7207238"
"0xfe4fd2b0d5d4ae6eb99b7a66ca55cf6d07f5e8a8","152407000"
"0xffc935b151432cea4d0ca69a72c8b58a38028b56","119128662.12193"
